umkm_id,Nama UMKM,Provinsi,Kabupaten,Latitude_umkm,Longitude_umkm,Rating_umkm,Gambar_UMKM,,
1,OMAH OREN Frozen food,Yogyakarta,Klaten,-7.751568,110.496212,4.9,https://lh5.googleusercontent.com/p/AF1QipO2q1T8T-wBVKG04gM1Y4ob23d3BidVCG34gnpu=w408-h306-k-no,,
2,THE ORIGINAL GELATO,Yogyakarta,Sleman,-7.749660,110.492999,4.2,https://lh5.googleusercontent.com/p/AF1QipOO85bYUNHiy7jiH5yPASxHI84Aso1KnS4rbCgz=w408-h306-k-no,,
3,Angkringan Bu Har,Yogyakarta,Klaten,-7.743218,110.494622,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=y3hgx94mUwfTHaUx7R1d1A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=97.4443&pitch=0&thumbfov=100,,
4,Nasi Pecel prambanan,Yogyakarta,Klaten,-7.752794, 110.495014,5.0,https://lh5.googleusercontent.com/p/AF1QipM9ZFK4wCoWJ5OFrNwB5nvFB-zbtVwntkdQkAoZ=w426-h240-k-no,  ,
5,Soto Bu Darsih,Jawa Tengah,Klaten,-7.753040,110.495671,3.7,https://lh5.googleusercontent.com/p/AF1QipP2LgnxDEnWta3dD5MUX0klQoem9dztoCNkZJFt=w426-h240-k-no,,"
"
6,Mie Ayam & Bakso Sragen Pak Sonto,Yogyakarta,Sleman,-7.749050,110.489522,4.2,https://lh5.googleusercontent.com/p/AF1QipNvOSzoghka4AzDwAaOFd2GHprpeiHfrv3ygpQD=w328-h130-p-k-no,,
7,Kopi Dinari,Yogyakarta,Sleman,-7.745182,110.491577,4.4,https://lh5.googleusercontent.com/p/AF1QipNmi_exkriuy8Xiu5cvJswQM1y4lcXoN4D31OES=w408-h544-k-no,,
8,Lotek & Gado Gado Ndeso,Yogyakarta,Sleman,-7.745080,110.491347,4.8,https://lh5.googleusercontent.com/p/AF1QipMg7Udz9wQXhJZxEODrgSE_VmTrTCGOhRAUElXA=s508-k-no,,
9,Warmindo Pojok Ndeso,Yogyakarta,Sleman,-7.744962,110.491359,5.0,https://lh5.googleusercontent.com/p/AF1QipMsuxXXl8CZwaNfj8Gzco7meaF6_PgsemPBE0f1=w427-h240-k-no,,
10,Paseban Candi Kembar,Jawa Tengah,Klaten,-7.740326,110.505420,4.2,https://lh5.googleusercontent.com/p/AF1QipM_V_CveoOkidhJIW6YhLpvRiXiah4pQA9-xMVK=w408-h724-k-no,,
11,Angkringan GWC,Jawa Tengah,Klaten,-7.740699, 110.505503,4.8,https://lh5.googleusercontent.com/p/AF1QipOUISLtt3M-ldIqIas19bVdPIPZqpMhGlnxM5HK=w425-h240-k-no,,
12,Otto t-shirt,Jawa Tengah,Klaten,-7.741600,110.504134,5.0,https://lh5.googleusercontent.com/p/AF1QipPGU4gYWnPHTZXYH4S_L05z4HY0ENoV-zWWGJiX=w408-h306-k-no,,
13,Nasi Pecel Peyek - Mbok Iyu,Yogyakarta ,Sleman,-7.762254,110.447904,4.6,https://lh5.googleusercontent.com/p/AF1QipOwikUbMIkwqOMa5GQ9Y-b1GaUuGJE7hFS73SJi=w408-h408-k-no,,
14,Griya Dhahar Sambiroso,Yogyakarta ,Sleman,-7.761712,110.446694,4.9,https://lh5.googleusercontent.com/p/AF1QipPtHp79aWwdhaiqnrhPAuT778w_oo8451FJ2rvf=w408-h509-k-no,,
15,Saoto Bathok Mbah Katro,Yogyakarta ,Sleman,-7.760913,110.446967,4.5,https://lh5.googleusercontent.com/p/AF1QipOR1hbF6aAiYZZOLAjblAg7coEbpfBDKt-zgApJ=w408-h306-k-no,,
16,Sop Djadoel Sambisari,Yogyakarta ,Sleman,-7.762669,110.447812,4.5,https://lh5.googleusercontent.com/p/AF1QipMkVPwAR_iI6qkYQ3wSUCZZ_2ysc1ICv6p7fX4y=w408-h544-k-no,,
17,Bebek & Ayam Taliroso Bu Lilly Klaten,Jawa Tengah,Klaten,-7.767573,110.471401,4.6,https://lh5.googleusercontent.com/p/AF1QipMRpXMyhtA1JKnB2aumBOrXl3vebsiL70Uaijh_=w408-h544-k-no,,
18,Pecel Lele Restu Ibu,Yogyakarta,Sleman,-7.765167,110.473010,5.0,https://lh5.googleusercontent.com/p/AF1QipMHe0YiqITxtgsF0_pOTk4hyDtg7B82D5oexLlq=w427-h240-k-no,,
19,Mie Ayam Dan Bakso Kalasan,Yogyakarta,Sleman,-7.765159,110.473370,4.4,https://lh5.googleusercontent.com/p/AF1QipO3ud0aTSztmh6pcOO3sB6dj3ufoVpxK2ohONOv=w408-h306-k-no,,
20,Warung Sate Kambing Pak Mangun 2,Yogyakarta,Sleman,-7.764964,110.473552,4.3,https://lh5.googleusercontent.com/p/AF1QipOVvIMw2y0PYeHhkmgtHodS0hmQCF0vSYauagB_=w532-h240-k-no,,
21,Es Kelapa Muda Adnan Degan ( Ijo Wulung ),Yogyakarta,Sleman,-7.764647 ,110.473384,4.2,https://lh5.googleusercontent.com/p/AF1QipNso2koWOGj3lcPGpSYN6fy8QMo6Xxz1RSOEyXr=w426-h240-k-no,,
22,Pawon Nike,Yogyakarta,Sleman,-7.761554,110.473529,4.0,https://lh5.googleusercontent.com/p/AF1QipNdWBATkVMQkIMEBeuJLkpvga-W7ijfq_FAdo5t=w408-h541-k-no,,
23,Ayam Goreng Kalasan Wiyono,Yogyakarta,Sleman,-7.761883,110.475327,4.6,https://lh5.googleusercontent.com/p/AF1QipO6oUVOmw5_LJpCqLaMJ2iTZdmj50Tb5VFOb0D8=w426-h240-k-no,,
24,Ayam Goreng Candisari Kalasan,Yogyakarta,Sleman,-7.764129,110.474305,4.3,https://lh5.googleusercontent.com/p/AF1QipONGWOehWI030Dx6WZHDGfXUGjLDZifv2_1haJy=s516-k-no,,
25,Ayam Goreng Sukowati,Yogyakarta ,Sleman,-7.760927,110.473259,4.8,https://lh5.googleusercontent.com/p/AF1QipOKKO0cDWz0PIcKMbDfjj7c6CmyoHJwgHzj_ftH=w408-h544-k-no,,
26,Ayam Goreng Kalasan Bu Sri Heryani,Yogyakarta ,Sleman,-7.760514,110.473386,4.4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SfrhjjEhFu8uyCwtv7y35Q&cb_client=search.gws-prod.gps&yaw=94.903275&pitch=0&thumbfov=100&w=328&h=130,,
27,Ayam Goreng Kalasan Bu Rina,Yogyakarta ,Sleman,-7.760646,110.473829,4.9,https://lh5.googleusercontent.com/p/AF1QipPAFetWP24rAN0glaKBAz29yWF8gdNTlSj9nDq1=w328-h130-p-k-no,,
28,Lentera Kopi Maguwoharjo,Yogyakarta ,Sleman,-7.752290,110.418245,4.7,https://lh5.googleusercontent.com/p/AF1QipNYa5MZRkikZdTu3BMFPVYBst_1j3WSxSRcEppr=w328-h130-p-k-no,,
29,Yurin kitchen & es teler si bro,Yogyakarta ,Sleman,-7.748788,110.415460,4.7,https://lh5.googleusercontent.com/p/AF1QipMh-c8aF-iqO2bh0LLYfHWdO_eBA1tiWnc7-dqV=w328-h130-p-k-no,,
30,Cuena Coffee House,Yogyakarta ,Sleman,-7.750357,110.412993,4.9,https://lh5.googleusercontent.com/p/AF1QipNeo4DIYlxJTK9AdH1LNy2fvXeCH43zrIda2lhP=w408-h611-k-no,,
31,Ayam Geprek JAGOAN,Yogyakarta ,Sleman,-7.774936,110.498696,5.0,https://lh5.googleusercontent.com/p/AF1QipPsXzWfuCjJNmAtM7x4oHd0dh-uRnjFe1jxhGv1=w408-h306-k-no,,
32,The Ugul-ugul kepurun,Jawa Tengah,Klaten,-7.657297,110.473395,4.3,https://lh5.googleusercontent.com/p/AF1QipP3vSvG9DghvaoCfHP8sL0d_VkeycOjka_VRvo8=w408-h306-k-no,,
33,Ramayana Garden Resto,Jawa Tengah,Klaten,-7.748251,110.494798,4.4,https://lh5.googleusercontent.com/p/AF1QipNq0UvZGLLYhEpBX7qeT9cMjAqZXBk5S3WENBoa=w328-h130-p-k-no,,
34,Wedang Kopi Prambanan,Jawa Tengah,Klaten,-7.741563,110.501008,4.5,https://lh5.googleusercontent.com/p/AF1QipMBl2F9AWF0NnE0ya-Ok7aPXQJnyh-nsrX3H5oc=w408-h271-k-no,,
35,Sate Mirah Pak Yono Sirahan,Jawa Tengah,Magelang,-7.614625,110.273719,4.5,https://lh5.googleusercontent.com/p/AF1QipOFxnZg8rWY4CgxTvtvekJ0BTEBykTdL6dOJc7-=w426-h240-k-no,,
36,Soto Bathok Pak De,Jawa Tengah,Magelang,-7.601945,110.259171,.4.4,https://lh5.googleusercontent.com/p/AF1QipMxqAvHeElVkQKHpg5NNIU_riGbmPp5IkBqdTeC=w533-h240-k-no,,
37,Renea Coffee & Eatery,Yogyakarta,Sleman,-7.689983,110.415731,4.9,https://lh5.googleusercontent.com/p/AF1QipPSwHrAWLavCmzrds5H1V9nePGHNO3z08RNC6Ia=w408-h544-k-no,,
38,Lereng Ijo,Yogyakarta,Sleman,-7.784145,110.511150,4.6,https://lh5.googleusercontent.com/p/AF1QipOGThzHVhxBlPoyTmX6VzAYVgL0p_aDEhS_T_CC=w425-h240-k-no,,
39,Trinata Coffee and View,Yogyakarta,Sleman,-7.783495,110.505872,4.9,https://lh5.googleusercontent.com/p/AF1QipOXHJL3e8kJUHyp-zhZtsigoJPAh28JeALnJXPW=w328-h130-p-k-no,,
40,Warmindo Barokah,Yogyakarta,Sleman,-7.755024,110.496955,4.9,https://lh5.googleusercontent.com/p/AF1QipMtIBKSXu_HcKyAXi9_3QATYXopbXt1ItYJ7HRT=s483-k-no,,
41,Bakpia Menuk,Yogyakarta,Sleman,-7.740408,110.471555,4.5,https://lh5.googleusercontent.com/p/AF1QipPMQz6B5A-zRClyU9bwFbP5av7cpj5z--YIYV0p=w408-h306-k-no,,
42,Warung Nasi Goreng Madu Rasa,Yogyakarta,Sleman,-7.744268,110.471389,4.3,https://lh5.googleusercontent.com/p/AF1QipPZvZ3_I42ae3Wc6ZbUafAAUlC43a-7f_HBsvF1=w328-h130-p-k-no,,
43,Mie Ayam dan Bakso Pak Dul,Yogyakarta,Sleman,-7.781777,110.477171,4.3,https://lh5.googleusercontent.com/p/AF1QipOqcpzIMK7UkVtwd5Q68Q2_cH3ATWIU2-Mtz54c=w408-h305-k-no,,
44,Opak Kopi,Yogyakarta,Sleman,-7.779583,110.475419,4.5,https://lh5.googleusercontent.com/p/AF1QipPGYKka4mOsblnlpPeV5G8_ZGOmxG4gi-o_n-QV=w408-h544-k-no,,
45,Kopi Talang,Yogyakarta,Sleman,-7.767437,110.487912,4.7,https://lh5.googleusercontent.com/p/AF1QipNDajMCTXMDGF0NLNrF5x9i76AFhezir2jop8po=w427-h240-k-no,,
46,Sate Bang Jez,Yogyakarta,Sleman,-7.815244,110.434001,5.0,https://lh5.googleusercontent.com/p/AF1QipMvvr5sZqMTf0YZaQqk4C42hPvVSbJHEKJRHy24=w408-h544-k-no,,
47,Warung Mie Ayam Monggang,Yogyakarta,Bantul ,-7.842046,110.437444,4.2,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=sl_uOLqccGkEXmnVr3ZcHg&cb_client=search.gws-prod.gps&yaw=299.9801&pitch=0&thumbfov=100&w=328&h=130,,
48,Rumah Makan Padang Nggayam,Yogyakarta,Bantul ,-7.840762,110.441923,4.6,https://lh5.googleusercontent.com/p/AF1QipOc8OvEtD1wwHkfxD6smCpfA_1mwwzcqhsHjeam=w408-h306-k-no,,
49,Rumah Makan Minang Angkasa,Yogyakarta,Bantul ,-7.834106,110.467023,4.1,https://lh5.googleusercontent.com/p/AF1QipOQuVNS8WNloi-nB2E0Yr66TKze2H-gypNUXCiy=w408-h724-k-no,,
50,"Ayam Goreng & Soto JOOSS ""Mbak Nung""",Jawa Tengah,Sukoharjo,-7.822095,110.754202,4.4,https://lh5.googleusercontent.com/p/AF1QipPiZgfFW6DZkCOFeRilPRZzU5mw-gT0q89Z8OYv=w408-h306-k-no,,
51,"MIE AYAM, BAKSO, SOTO & CILOK Pak Suwadi NGREJENG",Yogyakarta,Gunung Kidul,-7.839565,110.758103,4.8,https://lh5.googleusercontent.com/p/AF1QipN5RT45ogcJrcuAWPXp1sQOWiTWyxAeLJO8QQKz=w328-h130-p-k-no,,
52,Warung Makan Organik SOKA Samigaluh,Yogyakarta,Kulon Progo,-7.701860,110.161825,5.0,https://lh5.googleusercontent.com/p/AF1QipM3pZPH_NI5kgUrjlOlQvT9HOwDfOWw0baEkyFY=w426-h240-k-no,,
53,Soto Ayam & Angkringan,Yogyakarta,Kulon Progo,-7.699972,110.158056,4.2,https://lh5.googleusercontent.com/p/AF1QipM41cZEMRc2FOMUL4RWg7ufOTILQfD5MLqiNWYe=w328-h130-p-k-no,,
54,PECEL LELE GUBUG NOMOZ,Yogyakarta,Kulon Progo,-7.697425,110.149716,5.0,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=gpNKtqLPyBO3btVajmKp3Q&cb_client=search.gws-prod.gps&yaw=343.03122&pitch=0&thumbfov=100&w=328&h=130,,